address,lon,lat,name,city,district,town,encode
嘉定区乐惠路701弄,121.268919,31.305216,嘉翔苑,上海市,嘉定区,南翔镇,0210605004
嘉定区乐惠路801弄,121.247394,31.301072,陆巷社区桂园别墅南区,上海市,嘉定区,安亭镇,0210604003
嘉定区乐秀路299弄,121.313231,31.270005,博威天禧嘉苑东区,上海市,嘉定区,江桥镇,0210608015
嘉定区乡思路60弄,121.297640,31.271005,河东小区(星华公路),上海市,嘉定区,江桥镇,0210608016
嘉定区于塘南路280弄,121.193238,31.292906,恒大名都,上海市,嘉定区,安亭镇,0210604004
嘉定区于塘南路82弄,121.193389,31.289697,上海派Ⅱ,上海市,嘉定区,安亭镇,0210604005
嘉定区于塘路899号,121.186517,31.314043,塘庄村村委会,上海市,嘉定区,安亭镇,0210604006
嘉定区云屏路1399弄,121.242016,31.344907,新城金郡2期,上海市,嘉定区,菊园新区,0210609001
嘉定区云屏路188弄,121.255110,31.327716,龙湖郦城东区,上海市,嘉定区,马陆镇,0210607008
嘉定区云屏路388弄,121.253032,31.329151,中信泰富·又一城1期,上海市,嘉定区,马陆镇,0210607009
嘉定区云谷路1233弄,121.247507,31.345772,龙湖·蔚澜香醍,上海市,嘉定区,菊园新区,0210609002
嘉定区云谷路599弄,121.253673,31.332466,中信泰富·又一城雅苑,上海市,嘉定区,马陆镇,0210607010
嘉定区五一新村,121.317607,31.288770,五一新村,上海市,嘉定区,南翔镇,0210605005
嘉定区五四村,121.326797,31.249728,上海开隆食品有限公司,上海市,嘉定区,江桥镇,0210608017
嘉定区人民街24弄,121.309458,31.291048,银凯公寓,上海市,嘉定区,南翔镇,0210605006
嘉定区人民街60号,121.307779,31.290998,上海南翔老街建设发展有限公司,上海市,嘉定区,南翔镇,0210605007
嘉定区仓场村,121.276567,31.361520,马陆镇仓场村,上海市,嘉定区,马陆镇,0210607011
嘉定区仓场路421弄,121.270990,31.382226,南陈小区,上海市,嘉定区,新成路街道,0210610001
嘉定区仓场路441弄,121.269936,31.382062,南陈小区,上海市,嘉定区,新成路街道,0210610001
嘉定区伊宁路合作路B24-3工地,121.254671,31.338642,上海市嘉定区菊园新区伊宁路,上海市,嘉定区,菊园新区,0210609003
嘉定区伊宁路合作路交叉口工地,121.214441,31.329420,顾垒村综治维稳工作站,上海市,嘉定区,安亭镇,0210604007
嘉定区伊宁路合作路工地,121.254435,31.338979,上海市嘉定区菊园新区合作路,上海市,嘉定区,菊园新区,0210609004
嘉定区伏虎村,121.260936,31.445319,上海嘉定伏虎五金厂,上海市,嘉定区,徐行镇,0210602004
嘉定区众仁南路79弄,121.331161,31.279592,永利新村,上海市,嘉定区,南翔镇,0210605008
嘉定区众仁路388弄,121.326408,31.290468,南翔镇永翔新苑,上海市,嘉定区,南翔镇,0210605009
嘉定区众仁路79弄,121.327493,31.287628,槎浦新家园,上海市,普陀区,桃浦镇,0211601001
嘉定区众百南路605号,121.246548,31.299084,美虞园艺,上海市,嘉定区,安亭镇,0210604008
嘉定区佳通路31弄,121.323199,31.296495,中冶祥腾城市佳园,上海市,嘉定区,南翔镇,0210605001
嘉定区依玛路389弄,121.248097,31.354320,新城·香溢璟庭,上海市,嘉定区,菊园新区,0210609005
嘉定区依玛路410弄,121.248564,31.354343,新城·香溢璟庭,上海市,嘉定区,菊园新区,0210609005
嘉定区先农村,121.324940,31.263532,先农村委会,上海市,嘉定区,江桥镇,0210608018
嘉定区先锋村,121.215048,31.304151,先锋村委会,上海市,嘉定区,安亭镇,0210604009
嘉定区六里中心路128号,121.218093,31.347626,欣宝科技,上海市,嘉定区,菊园新区,0210609006
嘉定区六里中心路128弄,121.218270,31.347748,欣宝科技,上海市,嘉定区,菊园新区,0210609006
嘉定区兰塘村,121.153692,31.303619,嘉定区安亭小学,上海市,嘉定区,安亭镇,0210604010
嘉定区兰棠佳苑,121.148104,31.310854,兰棠佳苑,上海市,嘉定区,安亭镇,0210604011
嘉定区共和街114弄,121.307195,31.294356,永红新村,上海市,嘉定区,南翔镇,0210605010
嘉定区共和街154号,121.306499,31.295531,永红新村,上海市,嘉定区,南翔镇,0210605010
嘉定区兴庆路1327号,121.179978,31.434514,上海利隆新媒体股份有限公司,上海市,嘉定区,徐行镇,0210602005
嘉定区兴庆路1551号,121.177615,31.433315,虹桥湾,上海市,嘉定区,徐行镇,0210602006
嘉定区兴荣路811号,121.198204,31.429299,刈钣车件制造(上海)有限公司,上海市,嘉定区,徐行镇,0210602007
嘉定区兴邦路1111号,121.191129,31.417354,京东亚洲一号上海嘉定物流园1区,上海市,嘉定区,徐行镇,0210602008
嘉定区兴邦路1166号,121.189781,31.416949,京东亚洲一号上海嘉定物流园1区,上海市,嘉定区,徐行镇,0210602008
嘉定区兴顺路555号,121.191118,31.443939,迅达(中国)电梯有限公司,上海市,嘉定区,徐行镇,0210602009
嘉定区凌志路100弄,121.304906,31.271839,城市岸泊,上海市,嘉定区,江桥镇,0210608019
嘉定区前曹公路1158号,121.304104,31.454325,上海宏隆面制品有限公司,上海市,嘉定区,徐行镇,0210602010
嘉定区前曹公路699号,121.304685,31.445789,安新村社区服务中心,上海市,嘉定区,徐行镇,0210602011
嘉定区前曹公路9号,121.307677,31.432847,徐行镇城市管理行政执法中队,上海市,嘉定区,徐行镇,0210602012
嘉定区前曹路88号,121.307925,31.434323,上海申标标准件有限公司,上海市,嘉定区,徐行镇,0210602013
嘉定区前曹路88弄,121.304687,31.471579,上海市嘉定区华亭镇前曹路,上海市,嘉定区,华亭镇,0210611001
嘉定区劳动村,121.322631,31.444183,劳动村委会,上海市,嘉定区,徐行镇,0210602014
嘉定区劳动街281号,121.210065,31.262603,嘉定区河道水闸管理所黄渡水闸管理站,上海市,嘉定区,安亭镇,0210604012
嘉定区劳动街28号,121.214071,31.265179,绿苑四村,上海市,嘉定区,安亭镇,0210604013
嘉定区劳动街92号,121.214446,31.264924,黄渡镇文化广播电视管理中心,上海市,嘉定区,安亭镇,0210604014
嘉定区劳动路168弄,121.327948,31.438423,上海嘉昊仓储有限公司,上海市,嘉定区,徐行镇,0210602015
嘉定区劳动路412号,121.322222,31.446311,泰乙技电子(上海)有限公司,上海市,嘉定区,徐行镇,0210602016
嘉定区劳动路469号,121.324036,31.441305,上海名就门窗有限公司,上海市,嘉定区,徐行镇,0210602017
嘉定区劳动路658号,121.323056,31.444456,上海乐盈纸业有限公司,上海市,嘉定区,徐行镇,0210602018
嘉定区劳动路658弄,121.323056,31.444456,上海乐盈纸业有限公司,上海市,嘉定区,徐行镇,0210602018
嘉定区包桥村,121.319834,31.346444,上海美建钢结构有限公司(美建路),上海市,嘉定区,马陆镇,0210607012
嘉定区北和公路1650号,121.178971,31.424663,璨阳工业园,上海市,嘉定区,徐行镇,0210602019
嘉定区北大街108弄,121.248174,31.386896,北大街108弄小区,上海市,嘉定区,嘉定镇街道,0210603002
嘉定区北大街280弄,121.246668,31.391279,北大街280弄小区,上海市,嘉定区,嘉定镇街道,0210603003
嘉定区北新村,121.258821,31.466924,上海市嘉定区华亭镇,上海市,嘉定区,华亭镇,0210611002
嘉定区北栅桥路199号,121.358796,31.258153,上海明杰石业有限公司,上海市,嘉定区,真新街道,0210601025
嘉定区北管村,121.325421,31.332724,北管村新村民党支部,上海市,嘉定区,马陆镇,0210607013
嘉定区北陈路320号,121.324127,31.333636,思达小区,上海市,嘉定区,马陆镇,0210607014
嘉定区匡巷路900弄,121.326334,31.265228,先农村综合治理办公室社区民警接待室,上海市,嘉定区,江桥镇,0210608020
嘉定区半图村,121.335515,31.319113,上海灿轩木业有限公司,上海市,嘉定区,南翔镇,0210605011
嘉定区华亭村,121.284640,31.454800,邵家湾,上海市,嘉定区,华亭镇,0210611003
嘉定区华亭镇唐行石村,121.249873,31.455225,上海市嘉定区华亭镇经五路,上海市,嘉定区,华亭镇,0210611004
嘉定区华亭镇塔桥村,121.247921,31.444331,塔桥村,上海市,嘉定区,华亭镇,0210611005
嘉定区华亭镇毛桥村,121.251488,31.472256,毛桥村,上海市,嘉定区,华亭镇,0210611006
嘉定区华亭镇联一村,121.306580,31.480281,华亭镇联一村委会,上海市,嘉定区,华亭镇,0210611007
嘉定区华亭镇连俊村,121.237515,31.468942,连俊村村民委员会,上海市,嘉定区,华亭镇,0210611008
嘉定区华亭镇金吕村,121.293321,31.454050,金吕村委会,上海市,嘉定区,华亭镇,0210611009
嘉定区华博路1155号,121.248120,31.450596,上海集博实业,上海市,嘉定区,华亭镇,0210611010
嘉定区华博路655号,121.258712,31.453362,蓝鲨工业园,上海市,嘉定区,华亭镇,0210611011
嘉定区华庄村,121.316946,31.233030,华庄村村委会,上海市,嘉定区,江桥镇,0210608021
嘉定区华旺路888弄,121.284189,31.473660,华亭佳苑,上海市,嘉定区,华亭镇,0210611012
嘉定区华江公路370号,121.334869,31.249845,上海金品模具有限公司,上海市,嘉定区,江桥镇,0210608022
嘉定区华江公路726弄,121.328179,31.246028,五四村村委会,上海市,嘉定区,江桥镇,0210608023
嘉定区华江公路90弄,121.343692,31.257231,江桥佳苑2期,上海市,嘉定区,江桥镇,0210608024
嘉定区华江支路189号,121.338762,31.260093,天际蓝桥,上海市,嘉定区,江桥镇,0210608025
嘉定区华江支路312号,121.339242,31.258469,天际蓝桥,上海市,嘉定区,江桥镇,0210608025
嘉定区华江支路328弄,121.340646,31.259804,天际蓝桥,上海市,嘉定区,江桥镇,0210608025
嘉定区华江支路343号,121.338751,31.261856,天际·蓝桥坊,上海市,嘉定区,江桥镇,0210608026
嘉定区华江支路369号,121.338700,31.262122,天际·蓝桥坊,上海市,嘉定区,江桥镇,0210608026
嘉定区华江支路600弄,121.340967,31.264238,华江一村,上海市,嘉定区,江桥镇,0210608027
嘉定区华江支路645号,121.338701,31.263935,中星海兰苑,上海市,嘉定区,江桥镇,0210608028
嘉定区华江支路661号,121.338616,31.264558,中星海兰苑,上海市,嘉定区,江桥镇,0210608028
嘉定区华江支路669号,121.338626,31.264725,中星海兰苑,上海市,嘉定区,江桥镇,0210608028
嘉定区华江支路677弄,121.336497,31.265337,中星海兰苑,上海市,嘉定区,江桥镇,0210608028
嘉定区华江路1028号,121.324429,31.231947,蒂莎创意产业园,上海市,嘉定区,江桥镇,0210608029
嘉定区华江路107弄,121.333608,31.247329,鹿城别墅,上海市,嘉定区,江桥镇,0210608030
嘉定区华江路121弄,121.342585,31.254663,华江路121弄,上海市,嘉定区,江桥镇,0210608031
嘉定区华江路126号,121.333608,31.247329,鹿城别墅,上海市,嘉定区,江桥镇,0210608030
嘉定区华江路126弄,121.333608,31.247329,鹿城别墅,上海市,嘉定区,江桥镇,0210608030
嘉定区华江路129号,121.342735,31.254794,华江路121弄,上海市,嘉定区,江桥镇,0210608031
嘉定区华江路129弄,121.342550,31.253450,上海江桥经济城,上海市,嘉定区,江桥镇,0210608032
嘉定区华江路136弄,121.341280,31.255064,江桥佳苑,上海市,嘉定区,江桥镇,0210608033
嘉定区华江路1481弄,121.327144,31.231886,金华新村(金华街),上海市,嘉定区,江桥镇,0210608002
嘉定区华江路157号,121.340825,31.253587,上海新铁链筛网制造有限公司,上海市,嘉定区,江桥镇,0210608034
嘉定区华江路17号,121.346846,31.257985,江桥村,上海市,嘉定区,江桥镇,0210608035
嘉定区华江路18号,121.345666,31.257628,江桥一村,上海市,嘉定区,江桥镇,0210608036
嘉定区华江路190号,121.339053,31.253259,国际医疗商务园,上海市,嘉定区,江桥镇,0210608037
嘉定区华江路21号,121.346065,31.257815,江桥一村,上海市,嘉定区,江桥镇,0210608036
嘉定区华江路23号,121.345954,31.257749,江桥一村,上海市,嘉定区,江桥镇,0210608036
嘉定区华江路35号,121.324128,31.239618,吉的堡教育集团,上海市,嘉定区,江桥镇,0210608038
嘉定区华江路370号,121.334892,31.249790,上海金品模具有限公司,上海市,嘉定区,江桥镇,0210608022
嘉定区华江路43号,121.344601,31.256094,江桥二村六街坊,上海市,嘉定区,江桥镇,0210608039
嘉定区华江路4号,121.346418,31.258485,江桥一村,上海市,嘉定区,江桥镇,0210608036
嘉定区华江路726弄,121.328532,31.245597,五四村村委会,上海市,嘉定区,江桥镇,0210608023
嘉定区华江路77号,121.322346,31.238877,万达广场6号楼,上海市,嘉定区,江桥镇,0210608040
嘉定区华江路786号,121.328700,31.242860,大宅风范城,上海市,嘉定区,江桥镇,0210608041
嘉定区华江路90弄,121.333608,31.247329,鹿城别墅,上海市,嘉定区,江桥镇,0210608030
嘉定区南华路101弄,121.308215,31.288166,南华小区,上海市,嘉定区,南翔镇,0210605012
嘉定区南华路50弄,121.309200,31.287185,银凯南华公寓,上海市,嘉定区,南翔镇,0210605013
嘉定区南大街13弄,121.255773,31.377013,疁南小区,上海市,嘉定区,嘉定镇街道,0210603004
嘉定区南大街200号,121.252427,31.380986,嘉宏公寓,上海市,嘉定区,嘉定镇街道,0210603005
嘉定区南大街202号,121.252127,31.380959,嘉宏公寓,上海市,嘉定区,嘉定镇街道,0210603005
嘉定区南大街85弄,121.254416,31.378284,汇龙公寓西区,上海市,嘉定区,嘉定镇街道,0210603006
嘉定区南安德路868弄,121.176548,31.264160,上海市嘉定区安亭镇安智路万科天籁湖畔,上海市,嘉定区,安亭镇,0210604015
嘉定区南安路188号,121.163732,31.286648,嘉亭荟二期,上海市,嘉定区,安亭镇,0210604016
嘉定区南安路188号工地,121.163732,31.286648,嘉亭荟二期,上海市,嘉定区,安亭镇,0210604016
嘉定区南安路88弄,121.167998,31.286138,安亭名邸,上海市,嘉定区,安亭镇,0210604017
嘉定区南新路170弄,121.216879,31.427560,江苏驾校(上海办事处),上海市,嘉定区,徐行镇,0210602020
嘉定区南新路206号,121.218189,31.430840,锦园小区(娄塘路),上海市,嘉定区,徐行镇,0210602021
嘉定区南新路216号,121.218068,31.430692,锦园小区(娄塘路),上海市,嘉定区,徐行镇,0210602021
嘉定区南新路219弄,121.218332,31.430601,锦园小区(娄塘路),上海市,嘉定区,徐行镇,0210602021
嘉定区南新路307弄,121.217884,31.429089,嘉定区质量技术监督局第三所,上海市,嘉定区,徐行镇,0210602003
嘉定区南新路317号,121.217524,31.428783,嘉定区质量技术监督局第三所,上海市,嘉定区,徐行镇,0210602003
嘉定区南新路429弄,121.216879,31.427560,江苏驾校(上海办事处),上海市,嘉定区,徐行镇,0210602020
嘉定区南新路471弄,121.215625,31.426498,嘉定区娄塘幼儿园,上海市,嘉定区,徐行镇,0210602022
嘉定区南新路478弄,121.214088,31.427539,新轩青年公寓,上海市,嘉定区,徐行镇,0210602023
嘉定区南新路626弄,121.216879,31.427560,江苏驾校(上海办事处),上海市,嘉定区,徐行镇,0210602020
嘉定区南翔镇新丰村,121.301795,31.320641,新丰村委会,上海市,嘉定区,南翔镇,0210605014
嘉定区南翔镇永丰村,121.283904,31.300572,上海彩生色料化学股份有限公司,上海市,嘉定区,南翔镇,0210605015
